delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
56.0,M_free23+free13,783.4000000003074,3,-0.04938804838176712,-0.062489035338630324,0.0017616731198941578,33.52275029894929,42.18799340976163,8.588208008077446,0.30499999999430577,0.45100000000006246,0.022300000000599663
60.0,M_free23+free13,714.6000000001836,3,-0.04938804838242534,-0.06248903533870646,0.0017616731137198788,33.52275029892608,42.18799340975821,8.58820800802451,0.30499999999393274,0.45100000000000295,0.02230000000032683
63.0,M_free23+free13,665.100000000369,3,-0.04938804838197238,-0.06248903533870873,0.0017616731231231925,33.52275029894205,42.1879934097581,8.588208008105127,0.30499999999418953,0.4510000000000012,0.022300000000742337
64.0,M_free23+free13,649.0000000002972,3,-0.04938804837902646,-0.06248903533871231,0.0017616731200148282,33.52275029904593,42.18799340975794,8.58820800807848,0.304999999995859,0.45099999999999835,0.022300000000604985
65.0,M_free23+free13,633.100000000135,3,-0.04938804838176024,-0.062489035338709815,0.001761673111392405,33.52275029894953,42.18799340975805,8.588208008004559,0.30499999999430966,0.45100000000000023,0.022300000000223988
66.0,M_free23+free13,617.4000000002545,3,-0.049388048380442265,-0.062489035338712716,0.0017616731176287891,33.522750298996,42.18799340975792,8.588208008058025,0.3049999999950566,0.450999999999998,0.022300000000499566
70.0,M_free23+free13,556.6000000002945,3,-0.049388048379950596,-0.06248903533870565,0.0017616731197130726,33.522750299013346,42.187993409758235,8.588208008075892,0.3049999999953352,0.45100000000000356,0.022300000000591656
72.0,M_free23+free13,527.4000000004004,3,-0.04938804838231635,-0.06248903533870945,0.001761673124647329,33.52275029892992,42.18799340975807,8.588208008118194,0.3049999999939945,0.45100000000000073,0.02230000000080969
75.0,M_free23+free13,485.10000000031056,3,-0.04938804838312224,-0.062489035338710364,0.0017616731199894293,33.5227502989015,42.18799340975803,8.588208008078263,0.3049999999935377,0.4509999999999998,0.022300000000603875
78.0,M_free23+free13,444.6000000004576,3,-0.04938804838158818,-0.06248903533871033,0.0017616731276504862,33.5227502989556,42.18799340975803,8.588208008143942,0.3049999999944072,0.4509999999999998,0.022300000000942396
80.0,M_free23+free13,418.60000000005556,3,-0.04938804838174678,-0.062489035338254936,0.0017616731064595684,33.52275029895,42.18799340977852,8.588208007962269,0.30499999999431726,0.4510000000003559,0.022300000000006023
81.0,M_free23+free13,405.90000000030085,3,-0.049388048381761945,-0.062489035338710204,0.0017616731197383061,33.522750298949475,42.187993409758036,8.58820800807611,0.3049999999943087,0.45099999999999996,0.022300000000592776
84.0,M_free23+free13,369.00000000094366,3,-0.0493880483717199,-0.06248903532280865,0.0017616731208819634,33.522750299303596,42.1879934104736,8.588208008085916,0.305,0.4510000000124289,0.022300000000643316
85.0,M_free23+free13,357.10000000034745,3,-0.049388048380684814,-0.062489035338710565,0.0017616731222626439,33.522750298987454,42.18799340975802,8.588208008097752,0.30499999999491917,0.4509999999999998,0.02230000000070432
88.0,M_free23+free13,322.6000000007668,3,-0.04938804838233675,-0.06248903532094828,0.0017616731063248867,33.5227502989292,42.18799341055732,8.588208007961114,0.30499999999398303,0.45100000001388296,0.022300000000000063
90.0,M_free23+free13,300.60000000046864,3,-0.04938804838220132,-0.06248903533870849,0.0017616731280948158,33.52275029893398,42.187993409758114,8.58820800814775,0.30499999999405975,0.4510000000000013,0.022300000000962026
95.0,M_free23+free13,249.10000000009248,3,-0.04938804838173985,-0.062489035338710544,0.0017616731092584687,33.52275029895025,42.18799340975802,8.588208007986266,0.3049999999943212,0.4509999999999998,0.022300000000129702
